time,line,translation
00:00:00,Sync By: Luis-Subs Improved By: Fidel33,
00:00:01,,자막 및 번역팀 Team Paraphilia
00:00:10,,자막 : 으잌㉪
00:00:16,,본 자막은 HDRip 기준입니다
00:00:22,,"오역, 의역, 초월역 많을 수 있습니다 문의는 언제든지 받아요! databox6000@gmail.com"
00:00:28,,"★아, 그리고 루나공주님 짱짱포니★"
00:00:50,,누군가를 보며 궁금해한 적 있나요
00:00:51,JOY: Do you ever look at someone and wonder...,
00:00:52,,머릿속에서 무슨 일이 벌어지고 있을지?
00:00:53,"""What is going on inside their head?""",
00:00:55,,"음, 전 알아요"
00:00:56,"Well, I know. Well, I know Riley's head.",라일리의 머릿속은 잘 알죠
00:01:05,(BABY COOING),
00:01:35,Hmm?,
00:01:40,(BABY COOING HAPPILY),
00:01:43,,그 아이가 있었어요
00:01:44,JOY: And there she was...,
00:01:47,,안녕
00:01:48,Hello. Riley.,
00:01:50,,라일리... - 너 좀 보렴
00:01:52,"Oh, look at you.",
00:01:53,,정말이지 기쁨 덩어리구나
00:01:54,Aren't you a little bundle of joy?,
00:01:58,(BELL DINGS),
00:02:07,Aren't you a little bundle of joy?,
00:02:10,Whoa.,
00:02:27,(RILEY COOING),
00:02:29,,정말 대단하지 라일리와 나 단둘이
00:02:30,JOY: It was amazing. Just Riley and me. Forever.,
00:02:32,,영원히 함께라니
00:02:38,(RILEY CRYING),
00:02:40,,아님 한....
00:02:41,"JOY: Err, for 33 seconds?",33초 정도는
00:02:44,,난 슬픔이야
00:02:45,I'm Sadness.,
00:02:46,,"오, 안녕 나는 기쁨이야"
00:02:47,"Oh, hello. I... I'm Joy. So...",
00:02:50,,저기 괜찮다면...
00:02:51,Can I just... If you could...,
00:02:52,,"모르겠다, 내가 해 볼게 고마워"
00:02:53,I just want to fix that. Thanks.,
00:02:54,,그건 시작일 뿐이었어
00:02:55,JOY: And that was just the beginning.,
00:02:56,,본부는 훨씬 더 붐비더라구
00:02:57,Headquarters only got more crowded from there.,
00:03:00,(LAUGHING),
00:03:01,,"괜찮아, 좋아. 제대로 하는 것 같군. 아주 좋아"
00:03:02,"Very nice. Okay, looks like you got this. Very good.",
00:03:04,,"안 돼, 모퉁이!"
00:03:04,,"안 돼, 조심해!"
00:03:05,"FEAR: Whoa, sharp turn! No! Look out! No!",소심이야. 라일리를 지켜주는 데에 능숙하지
00:03:06,JOY: That's Fear.,
00:03:07,He's really good at keeping Riley safe.,
00:03:09,,"자, 자..."
00:03:10,"FEAR: Easy, easy. Ah!","물러서! 오, 괜찮네"
00:03:12,"(EXCLAIMS) Oh, we're good. We're good.",아주 좋아
00:03:13,,"우, 잘 했어 - 고마워, 정말 고마워"
00:03:15,Whew! Good job. Thank you. Thank you very much.,그럼 다시 할까
00:03:16,And we're back! (RILEY LAUGHING),
00:03:18,(GLASS SHATTERS) Oh!,
00:03:21,,"자, 들어간다 입 벌리렴"
00:03:22,"Here we go. All right, open.",
00:03:23,,"음, 처음 보는 거네 - 안전할까?"
00:03:24,Hmm. This looks new. You think it's safe?,
00:03:25,,이게 뭐야?
00:03:26,What is it? Aah.,"좋아, 주의 위험한 냄새가 난다구"
00:03:27,"Okay, caution. There is a dangerous smell, people.",
00:03:29,,"잠깐, 저건 뭐야?"
00:03:30,Hold on. What is that? JOY: This is Disgust.,얜 까칠이야
00:03:31,,신체적으로든 사회적으로든 라일리가 해를 입는 걸 막아줘
00:03:32,She basically keeps Riley from being poisoned.,
00:03:35,Physically and socially,밝은 색감은 아니네
00:03:36,That is not brightly colored,"공룡같이 생기지도 않았어 기다려봐, 다들"
00:03:37,"or shaped like a dinosaur. Hold on, guys.",
00:03:38,,브로콜리잖아!
00:03:39,It's broccoli! (EXCLAIMS IN DISGUST),
00:03:40,Yucky!,으웩!
00:03:42,,"자, 내가 우리 목숨을 구했어"
00:03:43,"Well, I just saved our lives.",
00:03:44,,"그래, 감사는 됐어"
00:03:45,BOTH: Whew! Yeah. You're welcome.,"라일리, 저녁 안 먹으면 디저트도 없을 거야"
00:03:46,"Riley, if you don't eat your dinner,",
00:03:48,you're not gonna get any dessert.,"잠깐, 디저트 없을 거라고 말한 거야?"
00:03:49,Wait. Did he just say we couldn't have dessert?,
00:03:50,,"얘는 버럭이야, 얜..."
00:03:52,JOY: That's Anger.,온당한 일들에 대단히 민감하지
00:03:53,He cares very deeply about things being fair.,
00:03:55,,"그래서 해 보시겠다, 늙은이?"
00:03:56,"So that's how you want to play it, old man?",
00:03:57,,디저트 없어? 그래 저녁 까짓것 먹어주지
00:03:58,"No dessert? Oh, sure, we'll eat our dinner!",
00:04:00,,너는 이거나 먹어라!
00:04:01,Right after you eat this!,
00:04:03,(YELLING),
00:04:05,(YELLING),
00:04:06,"Riley, Riley, here comes an airplane!","라일리, 비행기 들어간다"
00:04:09,(MIMICS ENGINE HUMMING),"아, 비행기 비행기래, 다들"
00:04:10,"Oh, airplane. We got an airplane, everybody.",
00:04:13,ALL: Oh! Airplane.,
00:04:22,,그리고 슬픔이는 만났지
00:04:23,"JOY: And you've met Sadness. She... Well, she...","얜, 음. 얘는"
00:04:26,(CRYING),
00:04:30,,솔직히 얘가 무슨 일 하는지는 모르겠어
00:04:31,JOY: I'm not actually sure what she does.,그래도 갈 곳 없는 친구 같으니까 뭐
00:04:33,"And I've checked,",
00:04:34,"there's no place for her to go, so...","좋아, 우리도 좋아 다 괜찮아"
00:04:35,"She's good, we're good. It's all great!",
00:04:37,,어쨌건 이건 라일리의 기억들이야
00:04:38,"Anyway, these are Riley's memories",
00:04:39,,자랑은 아니지만 대부분 행복한 기억들이지
00:04:40,"and they're mostly happy, you'll notice. Not to brag.",
00:04:43,MEG: Whoo-hoo! (RILEY LAUGHING),
00:04:45,Whoo-hoo!,
00:04:47,,하지만 정말 중요한 것들은 이 쪽에 있어
00:04:48,JOY: But the really important ones are over here.,
00:04:50,,너무 구체적인 건 됐고 이건 핵심 기억이라고 해
00:04:51,"I don't want to get too technical,",
00:04:52,but these are called Core Memories.,
00:04:54,,각기 라일리 일생의 정말 중요한 시기에서 나온 거야
00:04:55,Each one came from a super important time in Riley's life.,
00:04:57,,처음 점수를 땄을 때처럼 정말 대단했지
00:04:58,"Uh, like when she first scored a goal.",
00:05:00,"Oh, that was so amazing!","우와, 이것 좀 보렴!"
00:05:01,Hey! Would you look at that? Very nice!,
00:05:02,,정말 멋지구나
00:05:04,We got a future center here! Nice job.,
00:05:05,(ALL CHEERING),
00:05:17,,그리고 핵심 기억은 라일리의 각기 다른 인격의 원동력이 돼
00:05:18,JOY: And each Core Memory,
00:05:19,powers a different aspect of Riley's personality.,
00:05:21,,그러니까 하키 섬처럼!
00:05:22,Like Hockey Island.,
00:05:26,,엉뚱 섬은 개인적으로 가장 좋아해
00:05:27,Goofball Island is my personal favorite.,
00:05:29,"Ah, come back here, you little monkey!",이리 와라 깜찍한 원숭이 녀석!
00:05:33,"DAD: (LAUGHING) Oh, you're silly.","옙, 엉뚱한 장난은 정말 최고야!"
00:05:34,"JOY: Yep, Goofball is the best.",
00:05:36,,우정 섬도 아주 좋아
00:05:37,Friendship Island is pretty good too.,
00:05:39,(BOTH GIGGLING),
00:05:40,,"오, 정직의 섬 좋지"
00:05:41,"JOY: Oh, I love Honesty Island.",
00:05:43,,진짜 정말이야!
00:05:44,And that's the truth!,물론 가족의 섬도 멋져
00:05:45,"And of course, Family Island is amazing.",
00:05:48,(INDISTINCT),
00:05:49,,중요한 건 각 섬들은 라일리의 개성을 나타내어 준단 거야
00:05:50,"JOY: The point is, the Islands of Personality",
00:05:52,are what make Riley... Riley!,
00:05:54,,"조심해라, 인어!"
00:05:55,"Look out, mermaid! (SPLASHING)",
00:05:57,(GIGGLING),
00:06:01,(BUBBLING),
00:06:02,,용암이다!
00:06:03,Lava! Whee!,
00:06:05,,"놀고 싶은 친구 누구? 빙봉, 빙봉"
00:06:06,솵 Who's your friend who likes to play? 솵,
00:06:08,"솵 Bing Bong, Bing Bong! 솵",
00:06:09,,"야, 참 잘하네"
00:06:10,Hey! Very nice! Where'd you learn that?,
00:06:15,(SLURPING) Ahhh!,으아 - 찬 음식이다!
00:06:17,Brain freeze! (ALL SCREAMING),
00:06:24,(CROWD CHEERING) Yeah!,
00:06:29,,"잘 자렴, 얘야 - 잘 자요, 아빠"
00:06:30,"Good night, kiddo.",
00:06:31,"Good night, Dad.",
00:06:36,,그리고...
00:06:37,And... we're out!,
00:06:38,,일 끝이야
00:06:40,,"그래, 바로 이거지! 완벽한 날 추가!"
00:06:41,JOY: That's what I'm talking about!,
00:06:42,Whoo! Another perfect day!,
00:06:43,,"수고했어, 다들"
00:06:44,"Nice job, everybody!",이 기억은 장기 기억으로 보내자
00:06:45,Let's get those memories down to Long Term.,
00:06:51,,"좋아, 오늘은 안 죽었어"
00:06:52,"All right, we did not die today!",
00:06:53,,완벽한 성공이라 해 두지!
00:06:54,I call that an unqualified success.,
00:07:10,,"그래, 우린 이 아이를 사랑해"
00:07:11,JOY: And that's it. We love our girl.,
