time,line
00:00:00,Sync By: Luis-Subs Improved By: Fidel33
00:00:51,JOY: Do you ever look at someone and wonder...
00:00:53,"""What is going on inside their head?"""
00:00:56,"Well, I know. Well, I know Riley's head."
00:01:05,(BABY COOING)
00:01:35,Hmm?
00:01:40,(BABY COOING HAPPILY)
00:01:44,JOY: And there she was...
00:01:48,Hello. Riley.
00:01:52,"Oh, look at you."
00:01:54,Aren't you a little bundle of joy?
00:01:58,(BELL DINGS)
00:02:07,Aren't you a little bundle of joy?
00:02:10,Whoa.
00:02:27,(RILEY COOING)
00:02:30,JOY: It was amazing. Just Riley and me. Forever.
00:02:38,(RILEY CRYING)
00:02:41,"JOY: Err, for 33 seconds?"
00:02:45,I'm Sadness.
00:02:47,"Oh, hello. I... I'm Joy. So..."
00:02:51,Can I just... If you could...
00:02:53,I just want to fix that. Thanks.
00:02:55,JOY: And that was just the beginning.
00:02:57,Headquarters only got more crowded from there.
00:03:00,(LAUGHING)
00:03:02,"Very nice. Okay, looks like you got this. Very good."
00:03:05,"FEAR: Whoa, sharp turn! No! Look out! No!"
00:03:06,JOY: That's Fear.
00:03:07,He's really good at keeping Riley safe.
00:03:10,"FEAR: Easy, easy. Ah!"
00:03:12,"(EXCLAIMS) Oh, we're good. We're good."
00:03:15,Whew! Good job. Thank you. Thank you very much.
00:03:16,And we're back! (RILEY LAUGHING)
00:03:18,(GLASS SHATTERS) Oh!
00:03:22,"Here we go. All right, open."
00:03:24,Hmm. This looks new. You think it's safe?
00:03:26,What is it? Aah.
00:03:27,"Okay, caution. There is a dangerous smell, people."
00:03:30,Hold on. What is that? JOY: This is Disgust.
00:03:32,She basically keeps Riley from being poisoned.
00:03:35,Physically and socially
00:03:36,That is not brightly colored
00:03:37,"or shaped like a dinosaur. Hold on, guys."
00:03:39,It's broccoli! (EXCLAIMS IN DISGUST)
00:03:40,Yucky!
00:03:43,"Well, I just saved our lives."
00:03:45,BOTH: Whew! Yeah. You're welcome.
00:03:46,"Riley, if you don't eat your dinner,"
00:03:48,you're not gonna get any dessert.
00:03:49,Wait. Did he just say we couldn't have dessert?
00:03:52,JOY: That's Anger.
00:03:53,He cares very deeply about things being fair.
00:03:56,"So that's how you want to play it, old man?"
00:03:58,"No dessert? Oh, sure, we'll eat our dinner!"
00:04:01,Right after you eat this!
00:04:03,(YELLING)
00:04:05,(YELLING)
00:04:06,"Riley, Riley, here comes an airplane!"
00:04:09,(MIMICS ENGINE HUMMING)
00:04:10,"Oh, airplane. We got an airplane, everybody."
00:04:13,ALL: Oh! Airplane.
00:04:23,"JOY: And you've met Sadness. She... Well, she..."
00:04:26,(CRYING)
00:04:31,JOY: I'm not actually sure what she does.
00:04:33,"And I've checked,"
00:04:34,"there's no place for her to go, so..."
00:04:35,"She's good, we're good. It's all great!"
00:04:38,"Anyway, these are Riley's memories"
00:04:40,"and they're mostly happy, you'll notice. Not to brag."
00:04:43,MEG: Whoo-hoo! (RILEY LAUGHING)
00:04:45,Whoo-hoo!
00:04:48,JOY: But the really important ones are over here.
00:04:51,"I don't want to get too technical,"
00:04:52,but these are called Core Memories.
00:04:55,Each one came from a super important time in Riley's life.
00:04:58,"Uh, like when she first scored a goal."
00:05:00,"Oh, that was so amazing!"
00:05:01,Hey! Would you look at that? Very nice!
00:05:04,We got a future center here! Nice job.
00:05:05,(ALL CHEERING)
00:05:18,JOY: And each Core Memory
00:05:19,powers a different aspect of Riley's personality.
00:05:22,Like Hockey Island.
00:05:27,Goofball Island is my personal favorite.
00:05:29,"Ah, come back here, you little monkey!"
00:05:33,"DAD: (LAUGHING) Oh, you're silly."
00:05:34,"JOY: Yep, Goofball is the best."
00:05:37,Friendship Island is pretty good too.
00:05:39,(BOTH GIGGLING)
00:05:41,"JOY: Oh, I love Honesty Island."
00:05:44,And that's the truth!
00:05:45,"And of course, Family Island is amazing."
00:05:48,(INDISTINCT)
00:05:50,"JOY: The point is, the Islands of Personality"
00:05:52,are what make Riley... Riley!
00:05:55,"Look out, mermaid! (SPLASHING)"
00:05:57,(GIGGLING)
00:06:01,(BUBBLING)
00:06:03,Lava! Whee!
00:06:06,™ª Who's your friend who likes to play? ™ª
00:06:08,"™ª Bing Bong, Bing Bong! ™ª"
00:06:10,Hey! Very nice! Where'd you learn that?
00:06:15,(SLURPING) Ahhh!
00:06:17,Brain freeze! (ALL SCREAMING)
00:06:24,(CROWD CHEERING) Yeah!
00:06:30,"Good night, kiddo."
00:06:31,"Good night, Dad."
00:06:37,And... we're out!
00:06:41,JOY: That's what I'm talking about!
00:06:42,Whoo! Another perfect day!
00:06:44,"Nice job, everybody!"
00:06:45,Let's get those memories down to Long Term.
00:06:52,"All right, we did not die today!"
00:06:54,I call that an unqualified success.
00:07:11,JOY: And that's it. We love our girl.
00:07:14,She's got great friends and a great house.
00:07:16,Things couldn't be better.
00:07:18,"After all, Riley's 11 now."
00:07:21,What could happen?
00:07:24,What... ALL: Aah!
00:07:25,(JOY GASPS) (ALL EXCLAIM)
00:07:27,(TRUCK ENGINE STARTING)
00:07:30,"Okay, not what I had in mind."
00:07:32,(ALL SCREAMS)
00:07:33,(MUSIC PLAYING)
00:07:56,"JOY: Hey, look! The Golden Gate Bridge!"
00:07:58,Isn't that great?
00:08:00,"It's not made out of solid gold like we thought,"
00:08:02,"which is kind of a disappointment, but still..."
00:08:04,"FEAR: I sure am glad you told me earthquakes are a myth, Joy."
00:08:06,Otherwise I'd be terrified right now! (CHUCKLES)
00:08:09,"Uh, yeah..."
00:08:10,WOMAN: Are you kidding? Get out of the street!
00:08:12,"(CARS HONKING) MAN: Oh, for Pete's sake! Move it!"
00:08:13,These are my kind of people. (CARS HONKING)
00:08:15,"DAD: All right, just a few more blocks."
00:08:17,We're almost to our new house!
00:08:18,"Step on it, Daddy!"
00:08:19,Why don't we just live in this smelly car?
00:08:21,We've already been in it forever.
00:08:22,"Which, actually, was really lucky,"
00:08:24,because that gave us plenty of time to think about
00:08:26,what our new house is going to look like!
00:08:28,What! Let's review the top five daydreams.
00:08:31,Ooh! That looks safe! SADNESS: That one's nice.
00:08:33,"Oh, this will be great for Riley!"
00:08:34,"JOY: Oh, no, no, no, no, this one!"
00:08:36,"DISGUST: Oh, Joy, for the last time, she cannot live in a cookie."
00:08:38,ANGER: That's the one! It comes with a dragon.
00:08:41,"JOY: Now we're getting close, I can feel it."
00:08:44,"Here it is, here's our new house."
00:08:47,And...
00:08:54,Maybe it's nice on the inside.
00:08:57,(DOOR CREAKING)
00:09:02,ANGER: We're supposed to live here? SADNESS: Do we have to?
00:09:03,"DISGUST: I'm telling you, it smells like something died in here."
00:09:06,Can you die from moving?
00:09:07,"Guys, you're overreacting."
00:09:08,Nobody is dying...
00:09:10,A dead mouse! (FEAR SCREAMS)
00:09:11,ANGER: Great. This is just great. DISGUST: I'm gonna be sick.
00:09:13,It's the house of the dead! We're going to get rabies!
00:09:14,Get off of me! (FEAR SCREAMING)
00:09:16,"Hey. All through the drive,"
00:09:17,Dad talked about how cool our new room is.
00:09:19,(FEAR SIGHS) Let's go check it out!
00:09:20,DISGUST: Let's go! ANGER: It's gonna be great!
00:09:21,"FEAR: Yes, yes, yes."
00:09:23,"No, no, no, no, no."
00:09:24,DISGUST: I'm starting to envy the dead mouse.
00:09:25,"ANGER: Get out the rubber ball,"
00:09:26,we're in solitary confinement.
