time,line
00:00:01,자막 및 번역팀 Team Paraphilia
00:00:10,자막 : 으잌㉪
00:00:16,본 자막은 HDRip 기준입니다
00:00:22,"오역, 의역, 초월역 많을 수 있습니다 문의는 언제든지 받아요! databox6000@gmail.com"
00:00:28,"★아, 그리고 루나공주님 짱짱포니★"
00:00:50,누군가를 보며 궁금해한 적 있나요
00:00:52,머릿속에서 무슨 일이 벌어지고 있을지?
00:00:55,"음, 전 알아요"
00:00:56,라일리의 머릿속은 잘 알죠
00:01:43,그 아이가 있었어요
00:01:47,안녕
00:01:50,라일리... - 너 좀 보렴
00:01:53,정말이지 기쁨 덩어리구나
00:02:29,정말 대단하지 라일리와 나 단둘이
00:02:32,영원히 함께라니
00:02:40,아님 한....
00:02:41,33초 정도는
00:02:44,난 슬픔이야
00:02:46,"오, 안녕 나는 기쁨이야"
00:02:50,저기 괜찮다면...
00:02:52,"모르겠다, 내가 해 볼게 고마워"
00:02:54,그건 시작일 뿐이었어
00:02:56,본부는 훨씬 더 붐비더라구
00:03:01,"괜찮아, 좋아. 제대로 하는 것 같군. 아주 좋아"
00:03:04,"안 돼, 모퉁이!"
00:03:04,"안 돼, 조심해!"
00:03:05,소심이야. 라일리를 지켜주는 데에 능숙하지
00:03:09,"자, 자..."
00:03:10,"물러서! 오, 괜찮네"
00:03:12,아주 좋아
00:03:13,"우, 잘 했어 - 고마워, 정말 고마워"
00:03:15,그럼 다시 할까
00:03:21,"자, 들어간다 입 벌리렴"
00:03:23,"음, 처음 보는 거네 - 안전할까?"
00:03:25,이게 뭐야?
00:03:26,"좋아, 주의 위험한 냄새가 난다구"
00:03:29,"잠깐, 저건 뭐야?"
00:03:30,얜 까칠이야
00:03:31,신체적으로든 사회적으로든 라일리가 해를 입는 걸 막아줘
00:03:35,밝은 색감은 아니네
00:03:36,"공룡같이 생기지도 않았어 기다려봐, 다들"
00:03:38,브로콜리잖아!
00:03:40,으웩!
00:03:42,"자, 내가 우리 목숨을 구했어"
00:03:44,"그래, 감사는 됐어"
00:03:45,"라일리, 저녁 안 먹으면 디저트도 없을 거야"
00:03:48,"잠깐, 디저트 없을 거라고 말한 거야?"
00:03:50,"얘는 버럭이야, 얜..."
00:03:52,온당한 일들에 대단히 민감하지
00:03:55,"그래서 해 보시겠다, 늙은이?"
00:03:57,디저트 없어? 그래 저녁 까짓것 먹어주지
00:04:00,너는 이거나 먹어라!
00:04:06,"라일리, 비행기 들어간다"
00:04:09,"아, 비행기 비행기래, 다들"
00:04:22,그리고 슬픔이는 만났지
00:04:23,"얜, 음. 얘는"
00:04:30,솔직히 얘가 무슨 일 하는지는 모르겠어
00:04:31,그래도 갈 곳 없는 친구 같으니까 뭐
00:04:34,"좋아, 우리도 좋아 다 괜찮아"
00:04:37,어쨌건 이건 라일리의 기억들이야
00:04:39,자랑은 아니지만 대부분 행복한 기억들이지
00:04:47,하지만 정말 중요한 것들은 이 쪽에 있어
00:04:50,너무 구체적인 건 됐고 이건 핵심 기억이라고 해
00:04:54,각기 라일리 일생의 정말 중요한 시기에서 나온 거야
00:04:57,처음 점수를 땄을 때처럼 정말 대단했지
00:05:00,"우와, 이것 좀 보렴!"
00:05:02,정말 멋지구나
00:05:17,그리고 핵심 기억은 라일리의 각기 다른 인격의 원동력이 돼
00:05:21,그러니까 하키 섬처럼!
00:05:26,엉뚱 섬은 개인적으로 가장 좋아해
00:05:29,이리 와라 깜찍한 원숭이 녀석!
00:05:33,"옙, 엉뚱한 장난은 정말 최고야!"
00:05:36,우정 섬도 아주 좋아
00:05:40,"오, 정직의 섬 좋지"
00:05:43,진짜 정말이야!
00:05:44,물론 가족의 섬도 멋져
00:05:49,중요한 건 각 섬들은 라일리의 개성을 나타내어 준단 거야
00:05:54,"조심해라, 인어!"
00:06:02,용암이다!
00:06:05,"놀고 싶은 친구 누구? 빙봉, 빙봉"
00:06:09,"야, 참 잘하네"
00:06:15,으아 - 찬 음식이다!
00:06:29,"잘 자렴, 얘야 - 잘 자요, 아빠"
00:06:36,그리고...
00:06:38,일 끝이야
00:06:40,"그래, 바로 이거지! 완벽한 날 추가!"
00:06:43,"수고했어, 다들"
00:06:44,이 기억은 장기 기억으로 보내자
00:06:51,"좋아, 오늘은 안 죽었어"
00:06:53,완벽한 성공이라 해 두지!
00:07:10,"그래, 우린 이 아이를 사랑해"
00:07:13,멋진 친구도 멋진 집도 있지
00:07:15,더 좋을 수가 없지
00:07:17,"그렇게, 라일리는 이제 11살이야"
00:07:20,별 일 있겠어?
00:07:22,매각
00:07:23,뭐...?
00:07:29,"좋아, 예상했던 건 아니네"
00:07:55,"어이, 봐. 금문교야 멋지지 않아?"
00:07:58,예상처럼 금으로 만든 건 아니라 실망스럽지만 그래도 멋져!
00:08:03,"지진은 미신이라고 말해줘서 난 기쁘다, 기쁨아"
00:08:05,안 그랬음 지금쯤 엄청 무서워했을거야
00:08:08,"어, 그래..."
00:08:12,딱 내 타입의 사람들이군
00:08:14,"좋아, 몇 블록만 더"
00:08:16,"새 집에 거의 다 왔다 - 더 밟으쇼, 아빠"
00:08:18,그냥 냄새나는 차에서 살지 그래 평생 갇혀있는 것 같은데
00:08:21,그거야말로 정말 행운이지!
00:08:23,왜냐하면 우리 새 집이 어떨지 생각할 시간이 많아졌거든!
00:08:27,뭘까? 최고의 공상 5가지를 돌아보자구
00:08:30,"우, 안전해 보여 - 멋진 것 같네"
00:08:32,"오, 이거 라일리한테 좋을 거야"
00:08:33,"아! 아니, 이것도"
00:08:34,"기쁨아, 마지막으로 말하는데 쿠키 안에선 못 살아"
00:08:37,바로 저거지 드래곤도 딸려와
00:08:40,거의 다 왔지? 느껴지는데
00:08:43,"여기다, 우리 새 집이야"
00:08:46,그리고...
00:08:53,아마 내부는 꽤 좋을지도...
00:09:01,우리 여기서 살아? - 그래야 해?
00:09:02,정말로 여기서 뭔가 죽은 듯한 냄새가 나
00:09:04,"움직여도 죽을 수 있어? - 얘들아, 너무 오버하잖아"
00:09:07,아무도 안 죽어 - 죽은 쥐다!
00:09:10,대단하군 - 역겨워지려고 해
00:09:11,죽음의 집이야 어떡해야 해?
00:09:12,광견병에 걸릴 거야! - 나한테서 떨어져!
00:09:15,"자, 자, 여기까지 오면서"
00:09:16,아빠가 우리 새 방이 얼마나 멋진지 말씀하셨잖아
00:09:18,확인해 보자 - 정말 대단할 거야
