time,line,translation,
56 ,Hello?,누구 없어요?,
66 ,Hello?,아무도 없나요?,
82 ,Hey! Hey! Help me!,거기 누구 없어요? 도와주세요!,
119 ,Go get him.,데리고 올라와,
126 ,"Day one, Greenie.","첫째 날이다, 신참",
131 ,Rise and shine.,빨리 일어나,
134 ,He looks like a slopper to me.,청소 시키면 딱이겠어,
137 ,I could use some help in the kitchen.,식당에서 조수로 써야겠어,
144 ,"Oh! Hey, we got a runner!",신참이 도망친다!,
198 ,He's all yours.,잘 알려줘,
217 ,"Hey there, Green Bean.","반가워, 신참",
222 ,You're not gonna run again. Okay?,또 도망칠 생각 마 알았어?,
224 ,Good.,좋아,
235 ,My name is Alby.,난 알비야,
237 ,Can you tell me anything about yourself? Who you are?,너에 대해 말해봐 누군지...,
241 ,Where you came from? Anything at all.,어디서 왔는지 등등 아무거나,
244 ,No.,모르겠어,
250 ,Can you tell me your name?,이름이 뭐야?,
252 ,"I, uh, I can't remember anything.",아무것도 기억 안나,
259 ,Why can't I remember anything?,왜 기억이 안 나지?,
259 ,It's okay.,괜찮아,
264 ,"Hey, relax. Relax.",좀 진정해. 진정해.,
267 ,It's normal.,그게 정상이야,
270 ,It happens to us all.,우리도 다 그랬어,
272 ,You'll get your name back in a day or two.,하루 이틀이면 이름은 기억날 거야,
275 ,It's the one thing they let us keep.,그들이 그거 하난 기억하게 해주거든,
279 ,What is this place?,여긴 어디지?,
284 ,Let me show you.,보여줄게,
298 ,We eat here. We sleep here. We grow our own food. We build our own shelter.,우린 여기서 먹고 여기서 자고 먹을거리 재배하고 집도 직접 지어,
305 ,"Whatever we need, the Box provides. The rest is up to us.",필요한건 '박스'를 통해 오고 나머진 우리가 알아서 해,
310 ,The Box?,박스?,
311 ,Yeah. It's sent up once a month with fresh supplies and a new Greenie.,"그래, 매달 한번 필수품과 신참을 올려보내",
317 ,This month that's you.,이번 달엔 너지,
318 ,Congratulations.,축하한다,
320 ,"Sent up? By who, though? Who put us here?",올려보낸다고? 대체 누가?,
325 ,"That, we don't know.",우리도 몰라,
327 ,"Hey, are you all right, Alby?","괜찮아, 알비?",
331 ,"Green Bean, meet Newt. When I'm not around, he's in charge.","신참, 이쪽은 뉴트. 내가 없으면 얘가 대장이야",
334 ,"Well, it's a good thing you're always around then.",네가 항상 있어서 다행이지,
336 ,That was some dash you made earlier.,아깐 잘 뛰던걸?,
338 ,"For a second, I thought you had the chops to be a runner...till you face-planted.",근데 러너 감이라고 생각하는 순간... 땅에 얼굴 처박더라,
342 ,That was great.,진짜 웃겼어,
345 ,"Wait, a ""runner""?","잠깐만, 러너라니?",
347 ,"Newt, do me a favor. Go find Chuck.","뉴트, 척 좀 찾아볼래?",
350 ,All right.,알았어,
350 ,Thanks,고마워,
352 ,"Look, I'm sorry to rush this. You came up a little late, and there's a lot to do.",서둘러서 미안한데 네가 좀 늦게 와서 말야 할 게 많아,
360 ,We got something special planned tonight.,밤에 특별한 계획이 있거든,
362 ,Yeah. You'll see.,뭔진 곧 알게 돼,
365 ,I hope you're not afraid of heights.,높은 곳을 겁내진 않겠지?,
369 ,Let's go. Come on.,"올라와, 어서",
372 ,This is all we got.,우리는 모두 여기에 살아.,
379 ,We've worked hard for it.,힘들게 일궜지,
383 ,If you respect this place...you and I will get along just fine.,적응 잘하면 나랑 부딪힐 일 없어,
388 ,What's out there?,저 밖엔 뭐가 있지?,
390 ,We only have three rules.,룰이 세개 있어,
402 ,"First, do your part.","첫째, 맡은 임무를 다할 것",
406 ,No time for any freeloaders.,빈대 붙어서 거저먹긴 없어,
409 ,"Second, never harm another Glader.","둘째, 다른 친구들을 해치지 말 것",
412 ,None of this works unless we have trust.,신뢰가 깨지면 만사 꽝이니까,
415 ,Most importantly...never go beyond those walls.,무엇보다 중요한 건...절대 저 벽을 넘어가지 마,
422 ,"Do you understand me, Greenie?","알았냐, 신참?",
425 ,"Hey, Alby!",알비!,
428 ,"Hey, Chuck. Where you been, man?","척, 어디 갔었어?",
436 ,It's basically the same story for all of us.,우리도 똑같은 과정을 겪었어,
440 ,"We wake up in the Box, Alby gives us the tour...",박스에서 깨어나면 알비가 구경시켜주고,
444 ,then here we are.,그러곤 여기 살아,
447 ,Don't worry.,걱정 마,
450 ,You're already doing better than I did.,난 형보다 심했었어,
453 ,I clunked my pants three times before they got me out of the pit.,박스 안에서 세번이나 바지에 똥을 쌌거든,
457 ,"No, come on.",미치겠네!,
462 ,"Dude, where are you going?","형, 어디 가?",
471 ,I just wanna see.,보고 싶어서,
472 ,You can look around all you want but you better not go out there.,보는 건 상관없지만 들어가면 안돼,
475 ,Why not? What's through there?,왜? 뭐가 있는데?,
477 ,I don't know. I just know what I'm told.,나도 몰라 형들이 그랬단 말야,
480 ,And we're not supposed to leave.,우린 가면 안돼,
484 ,"Hey, Chuck. New Greenie, huh?","척, 신참이 왔네?",
494 ,How does it feel to be promoted?,신참 교육 맡은 기분 어때?,
496 ,"Feels great, Ben.","끝내줘, 벤",
497 ,I thought no one was allowed to leave.,아무도 못 들어간다더니?,
501 ,I said we're not allowed to leave.,우린 안 된다고,
503 ,"They're different, they're runners. They know more about the maze than anyone.",러너들은 달라 미로에 대해 빠삭하거든,
506 ,"Wait, what?",뭐라구?,
508 ,What?,뭐가?,
509 ,"What? You just said ""maze.""",방금 미로랬잖아,
511 ,I did?,내가 그랬어?,
513 ,Yeah.,그래,
514 ,Where are you going? What are you doing?,어디 가? 뭐하는 거야?,
520 ,I'm just gonna take a look.,좀 봐야겠어,
521 ,"I told you, you can't. No one leaves, especially not now.",우린 들어가면 안 된다니까 특히 지금은...,
525 ,It's not safe.,위험해,
528 ,"Okay, all right, I'm not gonna go.",알았어 안 들어갈게,
542 ,"We gotta stop meeting like this, Greenie.",신참이 너무 나대네,
545 ,Get off me!,비켜!,
545 ,"All right! Calm, calm, calm.","진정해, 진정해",
547 ,Don't touch me!,손대지 마,
548 ,Whoa! Take it easy!,진정하라니까,
550 ,Just relax.,흥분 가라앉혀,
551 ,What the hell is wrong with you guys?,니들 문제가 뭐야?,
553 ,"Just calm down, all right?",일단 좀 진정해,
554 ,Why won't you tell me what's out there?,뭐가 있는지 왜 말 안해줘?,
556 ,We're just trying to protect you. It's for your own good.,널 지켜주려는 거야. 네 안전을 위해서,
558 ,You guys can't just keep me here.,날 여기 붙잡아두진 못해,
559 ,I can't let you leave.,가게 놔둘 순 없어,
559 ,Why not?,왜?,
580 ,What the hell?,무슨...,
585 ,"Next time, I'm gonna let you leave.",다음엔 꼭 들여보내줄게,
610 ,Welcome to the Glade.,글레이드에 온 걸 환영한다,
627 ,Light him up!,불 붙여,
660 ,"Hell of a first day, Greenie.","신참, 정신없는 첫날이었지?",
663 ,Here.,여기,
666 ,Put some hair on your chest.,"술이야, 좀 마셔",
678 ,"Oh, my God! What is that?",맙소사! 뭘로 만든 거야?,
684 ,I don't even know.,나도 몰라,
685 ,It's Gally's recipe.,갤리가 만드는데,
688 ,It's a trade secret.,방법은 비밀이래,
692 ,"Yeah, well, he's still an asshole.",밥맛없는 자식이야,
694 ,He saved your life today.,녀석이 오늘 널 구해줬잖아?,
697 ,Trust me. The maze is a dangerous place.,명심해 미로는 위험한 곳이야,
703 ,"We're trapped here, aren't we?","우리, 여기 갇힌 거지?",
712 ,For the moment.,지금은 그렇지,
714 ,But...you see those guys?,그치만...쟤들 보이지?,
720 ,"There, by the fire?",불 옆에?,
723 ,Those are the runners.,러너들인데,
725 ,"That guy in the middle there, that's Minho.",가운데 있는 녀석이 민호야,
